id,strain,agouti,group,sex,CACNA1C,d50bw,pctdurlight,d1totalactivity,d1centerdur,d2totalactivity,d3.d2totalactivity,immobdur,ppibox,startle
55001,CBA,a,CAC1,F,WT,18.5,41.5,5567,183,5629,4200,85.1,1,41.7
55002,CBA,a,CAC1,F,WT,18.8,27,8251,220,7674,6919,37.8,2,93.2
55003,C58,b,CAC1,M,HET,29.4,48.4,6178,272,4211,11574,12.6,3,46.8
55004,C58,b,CAC1,M,WT,27.1,45.5,11245,272,5579,12809,32.4,4,15.3
55005,BTBR,b,CAC1,M,WT,34.4,47.3,5589,29,3745,15587,76.5,5,34
55006,BTBR,b,CAC1,M,HET,35.8,32,2504,3,1827,-731,10.8,1,20.2
55007,BTBR,b,CAC1,M,HET,38.7,29.6,6786,44,3582,1176,51.7,2,14
55008,BTBR,b,CAC1,F,HET,24,36.4,5968,196,5139,4170,31.4,3,67
55009,BTBR,b,CAC1,F,HET,24,68.7,2222,6,2592,2495,21,4,48
55010,BTBR,b,CAC1,F,WT,23,37.9,8748,158,5327,8192,25.7,5,53.6
55011,129,a,CAC1,M,WT,22,39.6,4636,76,2573,9701,20.6,1,85.8
55012,129,a,CAC1,M,WT,23.9,48.1,5079,170,4004,9755,26.5,2,118.9
55013,129,a,CAC1,M,HET,23.5,55.7,3467,52,1319,1583,74.9,3,91.8
55014,129,a,CAC1,F,HET,20,26,1936,9,1071,-250,122.9,4,36.1
55015,129,a,CAC1,F,WT,19.1,35.5,2946,38,2337,2624,49.2,5,NA
55016,129,a,CAC1,F,HET,19.2,35,842,4,630,1719,69.3,1,16.2
55017,129,a,CAC1,F,HET,18.3,39.2,1461,3,623,-172,121.9,2,57.1
55018,129,a,CAC1,F,WT,20.7,40.1,4942,30,3130,4963,66.6,3,163.6
55019,BALB,a,CAC1,M,HET,27.8,22.4,5875,95,5565,7643,10.3,4,27.5
55020,BALB,a,CAC1,M,HET,28,23.6,2245,4,963,1817,6.7,5,31.1
55021,BALB,a,CAC1,F,HET,20,27.6,2327,0,1113,NA,56.8,1,9
55022,BALB,a,CAC1,F,HET,21,28.1,3123,184,4046,NA,17.4,2,10.8
55023,BALB,a,CAC1,F,WT,19.5,26.1,4544,84,3574,18834,11.4,3,28.8
55024,BALB,a,CAC1,F,WT,20.2,41.2,2464,13,3076,12465,77.7,4,17.3
55025,PL,a,CAC1,M,HET,26.1,49.5,3524,151,2884,4218,3.2,5,20
55026,PL,a,CAC1,M,WT,24.4,46.3,5067,184,4665,1370,24.6,1,9.3
55027,PL,a,CAC1,M,WT,25.2,48.3,4003,232,5127,10257,29.7,2,20.6
55028,PL,a,CAC1,M,HET,27.9,40,5453,245,4256,10643,30.9,3,25.9
55029,C3H,a,CAC1,M,HET,25.7,34.4,3156,66,3404,8083,3.3,4,172.4
55030,C3H,a,CAC1,M,WT,26.1,40.4,5774,124,7126,21466,44.3,5,113.6
55031,C3H,a,CAC1,M,HET,27,29.1,3511,36,2758,10329,6.7,1,61.3
55032,C3H,a,CAC1,F,HET,19,30,3441,38,3992,7805,7.1,2,31.2
55033,C3H,a,CAC1,F,HET,19,25.4,3328,61,2963,8939,0.4,3,65.2
55034,C3H,a,CAC1,F,HET,18.7,19.7,2182,9,2513,14845,0.7,4,57.9
55035,C3H,a,CAC1,F,HET,19.2,13.8,3237,34,2667,21537,2.8,5,53.2
55036,C3H,a,CAC1,F,WT,17.8,48.3,4341,168,3942,16656,12.5,1,12.8
55037,PL,a,CAC1,M,WT,22.5,45.6,6128,143,4318,7187,13,2,9.3
55038,PL,a,CAC1,M,HET,23.5,38.6,4191,159,2650,7906,0,3,20.9
55039,PL,a,CAC1,M,HET,25.3,8.6,3233,77,3624,10455,2.4,4,46.8
55040,PL,a,CAC1,F,WT,16.8,32.4,4942,150,6094,13251,3.5,5,25.7
55041,PL,a,CAC1,F,WT,16,29.8,5113,110,4710,7114,39.8,1,19.5
55042,PL,a,CAC1,F,HET,17,43.8,4090,141,3910,19298,35.2,2,17.1
55043,PL,a,CAC1,F,HET,17,30,3772,119,3094,15893,25.2,3,59.1
55044,129,a,CAC1,M,HET,28,32.2,1699,6,908,-248,21.2,4,194.2
55045,129,a,CAC1,M,HET,27.1,44.7,3639,1,2928,2238,0.1,5,132.3
55046,129,a,CAC1,F,WT,22,28.7,2729,25,1917,899,70.3,1,43.7
55047,129,a,CAC1,F,HET,20.9,26.3,1755,31,421,94,15,2,116.3
55048,DBA,b,CAC2,M,HET,29,20,3107,35,3706,3844,13.4,1,37.3
55049,DBA,b,CAC2,M,HET,28,17.4,3124,21,2832,3853,69.5,2,11
55050,DBA,b,CAC2,M,HET,30,34.3,2938,36,2391,1308,111.7,3,24.4
55051,DBA,b,CAC2,M,WT,29,43.6,5694,207,5172,4467,69.7,4,20.3
55052,DBA,b,CAC2,M,WT,29,15.4,3927,24,4918,5196,55.7,5,26.6
55053,DBA,b,CAC2,M,HET,25,29.6,4692,103,4018,4994,14.8,1,10.2
55054,DBA,b,CAC2,F,WT,18,39,4779,55,3866,8282,95.8,2,8.5
55055,DBA,b,CAC2,F,HET,20,39.6,3107,20,1920,1753,78.5,3,16.7
55056,129,a,CAC2,M,HET,29,13.8,957,2,1018,3276,0.1,4,53.8
55057,129,a,CAC2,M,WT,29,42.7,2603,54,2897,9083,60.4,5,205.2
55058,129,a,CAC2,M,HET,29,75.9,1682,10,2097,14132,13.4,1,26
55059,129,a,CAC2,F,HET,20,28.3,2608,5,1629,-525,57.4,2,38.2
55060,129,a,CAC2,F,HET,17.6,53.5,1765,5,1176,541,13.5,3,51
55061,129,a,CAC2,F,WT,19.3,63.4,5245,34,2777,7187,130.9,4,38.1
55062,C3H,a,CAC2,M,HET,31.5,69.9,2042,27,2655,-1197,7.1,5,97.8
55063,C3H,a,CAC2,M,HET,34.8,60.9,4766,70,5176,4179,3.4,1,52
55064,C3H,a,CAC2,M,WT,29,37.8,3889,212,6686,20811,25.9,2,95.3
55065,C58,b,CAC2,F,WT,18,39.6,7501,163,8191,11277,3.3,3,14.5
55066,C58,b,CAC2,F,HET,19,38.7,8084,121,7852,20193,0,4,15.2
55067,C58,b,CAC2,F,HET,17.6,44.1,9143,220,8450,18423,0,5,22.4
55068,C58,b,CAC2,F,WT,17.7,32.5,5933,166,5796,26432,0,1,7
55069,C58,b,CAC2,F,WT,17.6,39.4,4304,152,4869,24832,2.7,2,7
55070,C58,b,CAC2,F,HET,18.2,41.6,6639,197,6408,20002,0.3,3,12.5
55071,129,a,CAC2,M,WT,24.8,57.5,5211,174,4969,17084,32.6,4,78.3
55072,129,a,CAC2,M,WT,26.9,34.1,3851,93,2026,4526,44.7,5,136.2
55075,BALB,a,CAC2,M,HET,26.4,23,4046,19,2774,7070,16.4,1,7.8
55076,BALB,a,CAC2,M,HET,25.7,27.7,5459,95,4246,12128,10.1,2,11.8
55077,BALB,a,CAC2,M,WT,27.3,32.5,8440,138,7603,14203,22.3,3,16.2
55078,BALB,a,CAC2,F,HET,19.8,17,4303,90,4432,5592,117.5,4,9.5
55079,BALB,a,CAC2,F,HET,17.8,36.3,5276,160,4146,4735,44.2,5,22.4
55080,BALB,a,CAC2,F,WT,20.9,54.9,4948,18,7321,13485,14.7,1,6.3
55081,BALB,a,CAC2,F,WT,18.9,19.5,5624,116,1874,16042,52.4,2,12.6
55082,DBA,b,CAC2,F,WT,18.3,47.8,4059,138,4329,7986,82.1,3,26
55083,DBA,b,CAC2,F,WT,17.3,55.3,4611,46,5204,10849,79.2,4,25.6
55086,BALB,a,CAC2,M,WT,27.7,33.8,6578,253,6041,14794,6.9,5,33.8
55087,BALB,a,CAC2,M,HET,18.4,9.6,2914,28,3111,9554,30,1,10
55088,BALB,a,CAC2,M,HET,24.7,34.9,4717,65,3702,7528,39.6,2,6.6
55089,BALB,a,CAC2,M,WT,26.5,32.3,7298,108,6089,10723,45.3,3,18.5
55091,BALB,a,CAC2,F,WT,20.2,23.8,6220,60,4733,-1243,71.9,4,32.4
55092,BALB,a,CAC2,F,HET,19.9,28.2,4496,38,4981,11203,27.8,5,10.9
55093,B6,b,CAC2,M,HET,24.7,50.6,4272,222,2286,14807,31.3,1,9.3
55094,B6,b,CAC2,M,WT,24.2,39.6,4438,234,2973,14621,50.4,2,17.3
55095,B6,b,CAC2,M,WT,24.8,39.2,7969,274,7580,11827,39.7,3,46
55096,B6,b,CAC2,M,HET,22.3,43.3,4500,147,3178,11813,100.8,4,54.8
55097,B6,b,CAC2,F,HET,17.5,29.9,4553,200,2547,4457,50,5,25.4
55098,B6,b,CAC2,F,WT,18.1,35.4,4818,109,3225,8713,0,1,27.1
55099,C3H,a,CAC3,M,WT,28.3,50.7,4825,83,4426,18843,2.5,1,50
55100,C3H,a,CAC3,M,WT,29.9,32.5,4262,71,3028,11889,0,2,67.3
55101,C3H,a,CAC3,M,WT,31,32.2,3256,98,2989,16031,1,3,80.3
55102,C3H,a,CAC3,M,HET,29,55.7,4614,109,4838,14472,3.3,4,70.9
55103,C3H,a,CAC3,F,WT,20,16,6215,92,3822,28381,2.6,5,153.2
55104,C3H,a,CAC3,F,HET,21.7,18.4,5767,125,4514,8683,4.9,1,24.3
55105,C3H,a,CAC3,F,WT,20.6,35.6,7709,193,6893,23159,37.8,2,35.8
55106,SM,b,CAC3,M,WT,27.5,53.2,8643,165,8176,11253,0.1,3,51
55107,SM,a,CAC3,M,HET,29.2,35.7,6357,149,6145,2757,0,4,73.4
55108,SM,b,CAC3,F,WT,20.9,42.5,8288,84,8027,17410,10.1,5,144.5
55109,SM,a,CAC3,F,HET,20.8,38.3,6789,298,7331,16683,6.3,1,41.9
55110,SM,b,CAC3,F,HET,20,40.1,6749,87,7453,19129,0,2,38.1
55111,C58,b,CAC3,M,HET,26.7,40,7909,154,5982,25814,0,3,15.4
55112,C58,b,CAC3,M,HET,25,51.7,6346,119,6246,22131,0,4,11.8
55113,C58,b,CAC3,M,WT,24,38.6,9441,107,5888,32181,0.6,5,16
55114,C58,b,CAC3,F,HET,20,40.5,4149,69,3293,19037,0,1,5.7
55116,C58,b,CAC3,F,HET,21,29.2,3960,71,1708,10058,2.6,2,6
55118,BTBR,b,CAC3,F,HET,26.5,41,4658,13,1893,1351,5.7,3,59.8
55119,BTBR,b,CAC3,F,HET,28.5,34.9,3178,21,2095,4732,28.6,4,58.1
55120,BTBR,b,CAC3,F,WT,25.6,40,5449,43,5280,14683,37.2,5,102.9
55121,BTBR,b,CAC3,F,HET,27.3,25.7,4877,46,5185,9366,76.4,1,29.6
55122,BTBR,b,CAC3,F,HET,27.3,33.1,4101,28,3677,5397,1,2,14.2
55124,BALB,a,CAC3,F,HET,24,35.2,6908,76,5316,6156,14,3,20.3
55125,BALB,a,CAC3,F,WT,24,37,7400,179,6185,14988,17.2,4,18
55126,129,a,CAC3,F,HET,22,40.3,1807,67,2120,3091,15.4,5,108.6
55127,129,a,CAC3,F,WT,21.4,42.1,3776,283,3165,1376,70.1,1,67.1
55128,129,a,CAC3,F,WT,21.3,41.3,4486,78,4691,9615,26.1,2,74.6
55129,DBA,b,CAC3,M,WT,27,40.3,4512,80,2798,1904,50.6,3,59.2
55130,DBA,b,CAC3,M,WT,27.9,32.3,4643,175,5035,10224,56.4,4,28.8
55131,DBA,b,CAC3,M,HET,29.3,34.1,3935,164,6868,8054,12.4,5,17.9
55132,C3H,a,CAC3,F,HET,19.8,46.2,4567,23,4069,14517,5.8,1,34.3
55133,C3H,a,CAC3,F,WT,17.5,41.7,5277,222,5335,15285,3.7,2,29.6
55134,C3H,a,CAC3,F,WT,18.3,35.4,5034,45,5499,13438,0.7,3,37.3
55135,BALB,a,CAC3,M,WT,23,30.5,5862,67,5668,17152,19.2,4,17.4
55136,BALB,a,CAC3,M,WT,24,29,6659,145,6505,13741,19.9,5,14.4
55137,BALB,a,CAC3,M,WT,23,36.7,5719,121,5167,24092,1.3,NA,NA
55152,AKR,b,CAC4,M,WT,32,30.9,5907,172,6109,17159,66.4,1,15.2
55153,AKR,b,CAC4,M,HET,32,52.3,4771,85,4298,16335,8.1,2,15
55154,AKR,b,CAC4,M,HET,32,63,2851,42,4297,12423,38.3,3,17.6
55155,AKR,b,CAC4,F,HET,21,34.2,6258,141,5850,15797,53.9,4,12.6
55156,AKR,b,CAC4,F,WT,21,48.9,9806,143,7787,27883,72.3,5,16.6
55157,AKR,b,CAC4,F,HET,23,21.9,4231,21,5505,13991,10.5,1,12.5
55158,PL,a,CAC4,F,WT,20,32.2,6217,182,5639,17607,9.4,2,14.2
55159,PL,a,CAC4,F,HET,19,39.7,5003,106,4259,13777,0.8,3,16.3
55160,AKR,b,CAC4,M,WT,28,14.6,4390,39,4724,21046,56.3,4,35.4
55161,AKR,b,CAC4,M,WT,25,42.4,6913,160,6327,22533,0.6,5,32.3
55162,AKR,b,CAC4,M,WT,25,27.4,5198,86,6124,12479,39.8,1,23
55163,AKR,b,CAC4,M,HET,28,24.5,4607,34,3670,21184,0.9,2,24.7
55165,AKR,b,CAC4,F,WT,16.5,41.7,7728,47,7499,15579,29.5,3,14.6
55166,AKR,b,CAC4,F,WT,21.5,25.3,6970,125,7522,30096,11.8,4,14.7
55167,AKR,b,CAC4,F,HET,21.2,18.8,5129,69,5279,13474,7,5,29.4
55168,AKR,b,CAC4,F,HET,20.7,34.8,3765,16,2429,19068,50.5,1,11
55169,AKR,b,CAC4,M,HET,29.7,42.5,7228,27,5939,4825,58.1,2,25.6
55170,AKR,b,CAC4,M,HET,30.9,18.5,4365,37,5388,12042,2.6,3,36.2
55171,AKR,b,CAC4,M,WT,30.9,46.7,8274,237,9414,21505,20.4,4,16.5
55172,AKR,b,CAC4,F,WT,22.4,40.3,10835,167,11562,22938,14.7,5,30.5
55173,AKR,b,CAC4,F,HET,22.3,45.2,8490,58,7172,14719,5.7,1,9.3
55176,KK,b,CAC4,M,HET,35.3,32.3,3466,53,2189,13050,11.2,2,58.6
55177,KK,b,CAC4,M,WT,34.8,32.3,6158,185,6406,13723,18.6,3,56.8
55178,KK,b,CAC4,M,WT,36,37.8,4766,189,3255,16191,36.9,4,105.8
55179,KK,b,CAC4,M,HET,35.7,NA,3128,23,3073,6150,18.4,5,159.1
55180,KK,b,CAC4,F,HET,27.7,37.4,2937,7,2345,6576,0.1,1,43.3
55181,KK,b,CAC4,F,HET,22.4,40.7,4608,46,2652,5581,48.5,2,55.8
55182,KK,b,CAC4,F,WT,26,43.2,2750,20,2860,15853,2.9,3,73.8
55183,CBA,a,CAC4,F,WT,18.1,33.6,4345,169,5417,18506,17.3,4,47.2
55184,CBA,a,CAC4,F,HET,18.4,36.1,5116,232,5763,10248,0,5,30.9
55185,CBA,a,CAC4,F,HET,19.8,37.5,6189,40,5982,7590,2.7,1,66.3
55186,CBA,a,CAC4,F,HET,20.1,47.8,4170,107,4447,13420,0,2,66.6
55187,KK,b,CAC4,M,WT,34,44.1,4762,118,4913,14410,37.6,3,176.1
55188,KK,b,CAC4,M,WT,34.1,46.2,5326,103,5312,13321,11.5,4,101.7
55189,KK,b,CAC4,M,HET,33.9,29.4,3439,74,2404,4463,1.3,5,75.3
55192,KK,b,CAC4,F,WT,26.5,42.2,4766,89,4080,12685,125.7,1,55.2
55193,KK,b,CAC4,F,HET,24.6,42.1,4105,57,3796,7362,24.2,2,21.1
55194,KK,b,CAC4,F,WT,23.9,27.4,4321,42,3276,16077,88,3,93
55200,AKR,b,CAC4,F,WT,20.2,25.2,7493,194,7100,9932,9.8,4,29.1
55201,AKR,b,CAC4,F,WT,19.1,32.7,6477,96,5368,15887,12.5,5,33.9
55203,DBA,b,CAC4,M,WT,31.7,31.7,4063,96,2017,12073,146.6,1,11.7
55204,DBA,b,CAC4,M,HET,29.9,21,4247,49,4702,12394,47.7,2,22.9
55205,DBA,b,CAC4,F,WT,22.1,46,6284,125,6595,13324,24.1,3,19.6
55206,DBA,b,CAC4,F,WT,20.5,28.8,4335,44,5724,13876,49.6,4,23.1
55207,C58,b,CAC5,F,WT,20.7,37.6,6658,224,8816,24957,2.1,1,12.2
55208,C58,b,CAC5,F,HET,22.7,22.1,5967,100,6130,43883,0,2,8.9
55209,C58,b,CAC5,F,WT,20.9,36.2,7629,201,6430,38105,0,3,14.9
55210,KK,b,CAC5,M,HET,36.4,24.5,3428,37,2921,6675,24.8,4,85.8
55211,KK,b,CAC5,M,HET,38,33.6,4619,113,2184,3856,1.6,5,148.1
55212,KK,b,CAC5,M,HET,36,29.3,3482,78,2870,3874,54.8,1,92.8
55213,KK,b,CAC5,M,WT,34,32.7,7131,107,6563,12185,23.6,2,44.6
55214,KK,b,CAC5,F,WT,27,41.4,6244,182,6415,13771,19.5,3,82.2
55215,KK,b,CAC5,F,HET,26.2,40.7,3643,103,3040,8280,9.7,4,37.2
55220,KK,b,CAC5,F,HET,23.5,36.3,3171,91,1679,12272,0.1,5,36.2
55221,KK,b,CAC5,F,HET,22.4,39.7,3389,91,2596,6616,1.1,1,23.3
55222,KK,b,CAC5,F,WT,24,32.3,4504,111,4899,15186,9.8,2,58.6
55223,KK,b,CAC5,F,WT,21,44.9,3438,32,400,12704,13.6,3,42.3
55224,LG,b,CAC5,M,WT,31,41.1,6889,155,6517,1663,47.6,4,89.4
55225,LG,b,CAC5,M,WT,35.5,27.5,5051,41,5607,11799,28.6,5,61.5
55226,LG,b,CAC5,M,WT,34.1,54,7660,131,6517,8486,5.8,1,27.2
55227,LG,b,CAC5,M,WT,31.7,62.2,5687,71,5156,8800,2.9,2,31.8
55228,LG,b,CAC5,F,HET,23.3,20.1,5122,86,5136,10228,45.3,3,51.4
55229,LG,b,CAC5,F,WT,24,49.1,6586,87,6699,15457,3.1,4,44.5
55230,LG,b,CAC5,F,HET,24,39.9,5126,16,4762,5373,22.9,5,37.3
55231,LG,b,CAC5,F,HET,24,10.7,3284,16,3317,2393,2.2,1,43.7
55232,LG,b,CAC5,F,WT,25.1,40.1,6768,48,5370,9507,0.3,2,49
55233,LG,b,CAC5,F,WT,26,8.7,4849,32,5234,17475,94.5,3,61.6
55234,LG,b,CAC5,F,HET,26.2,74.1,423,29,928,13709,32.7,4,48.9
55246,LG,b,CAC5,M,HET,37.4,10.5,1134,4,1390,9483,6.8,5,65.7
55247,LG,b,CAC5,M,WT,40,27.2,4892,96,3893,8852,12.7,1,42.7
55248,LG,b,CAC5,M,HET,39,84.4,1196,12,1450,-798,10.1,2,45.7
55249,LG,b,CAC5,M,WT,35,45.3,5127,179,5379,8433,13.3,3,34.5
55250,LG,b,CAC5,M,WT,35.1,47.1,5993,258,6244,16772,24.7,4,47.3
55251,LG,b,CAC5,F,WT,27.1,42.9,7314,154,7079,6631,9.9,5,44
55252,LG,b,CAC5,F,HET,29.1,100,6360,26,5977,10234,81.7,1,14.2
55253,LG,b,CAC5,F,HET,26.8,43.8,5531,68,5827,5959,6.8,2,48.8
55258,LG,b,CAC5,M,HET,32,79.7,4625,65,4143,24,26.8,3,44.4
55259,LG,b,CAC5,M,HET,30,29.4,4216,12,4109,5385,47.2,4,76.7
55260,LG,b,CAC5,M,HET,32,39.7,5363,100,4588,8219,4.9,5,69.8
55261,LG,b,CAC5,M,HET,31.9,87.3,4142,21,4484,14023,6.9,1,33.6
55262,LG,b,CAC5,F,WT,23.7,18.8,5697,79,5307,11358,27.6,2,39.4
55264,LG,b,CAC5,F,WT,24.4,68.9,4997,64,5784,4433,48.7,3,54.2
55266,DBA,b,CAC5,F,WT,18.2,42.8,5105,158,5647,22292,92.6,4,13.6
55267,DBA,b,CAC5,F,HET,18,8.2,2494,29,2780,3271,15,5,31.8
55269,DBA,b,CAC5,F,HET,18,7.1,2374,1,2163,5010,26.6,1,13.1
55271,NON,a,CAC5,M,HET,32,27.1,4094,71,3809,6555,62.9,2,17.8
55272,NON,a,CAC5,M,WT,33.8,37,8989,106,6965,5311,50,3,29.7
55273,NON,a,CAC5,M,WT,32,33.6,3878,75,4333,15637,18.7,4,30.8
55276,B6,b,CAC6,F,WT,17.1,47.4,4458,99,1790,7247,10.9,1,13
55277,B6,b,CAC6,F,WT,16.6,41.5,5832,82,3658,8638,43.5,2,11.5
55278,B6,b,CAC6,F,HET,17,38.3,2967,49,2984,8142,115.2,3,25.6
55279,B6,b,CAC6,M,HET,21.5,18.9,5049,209,5054,10284,151.7,4,19.5
55280,B6,b,CAC6,M,HET,23.2,46.9,3642,179,4273,5186,40.5,5,62.5
55281,B6,b,CAC6,M,HET,20.8,41,5284,168,4547,8120,69.4,1,22.7
55282,B6,b,CAC6,M,WT,22.8,46.4,7212,162,4333,6251,44.9,2,21
55283,B6,b,CAC6,F,WT,16.7,46.5,5668,247,6497,9579,125.7,3,49.7
55284,B6,b,CAC6,F,WT,16.1,44.9,4029,64,3897,3848,49.3,4,26.9
55285,B6,b,CAC6,F,WT,17.4,44.2,4373,136,2414,12129,64.2,5,42.6
55286,SJL,a,CAC6,M,WT,27.4,43.1,3264,182,3135,7665,6.2,1,30.1
55287,SJL,a,CAC6,M,WT,28.5,40,3782,128,3459,12528,7.5,2,23.6
55288,SJL,a,CAC6,M,WT,28.4,51.9,3269,110,3311,12139,19.8,3,53.4
55289,SJL,a,CAC6,F,WT,17.3,51.9,7754,222,6081,18097,25.8,4,45.4
55290,SJL,a,CAC6,F,HET,18.8,34.4,7468,145,7002,11162,61.5,5,27.2
55291,SJL,a,CAC6,F,WT,19.2,34.8,5740,190,6202,18338,1.5,1,15.1
55292,NON,a,CAC6,M,HET,28.8,47.5,3853,58,2479,5181,66.4,2,51.1
55293,NON,a,CAC6,M,HET,29.7,63.7,4380,131,2163,11430,17.3,3,26.9
55297,NON,a,CAC6,F,WT,23.2,49.6,8722,227,8883,9959,52.2,4,26.5
55298,NON,a,CAC6,F,WT,21,46.3,2973,89,4186,16013,62.2,5,37
55299,NON,a,CAC6,F,WT,21.8,51.2,4472,108,3783,12202,29,1,11.1
55300,B6,b,CAC6,M,HET,20.3,42.1,5999,199,4375,6497,57.7,2,12.6
55301,B6,b,CAC6,M,WT,21.1,29.7,4552,197,3678,11733,33.7,3,20.7
55302,B6,b,CAC6,M,WT,21.1,41.3,7985,180,6773,11872,80,4,39.1
55303,B6,b,CAC6,M,WT,22.1,50.4,3605,80,2993,5872,87.2,NA,NA
