id,strain,agouti,group,sex,CACNA1C,d50bw,pctdurlight,d1totalactivity,d1centerdur,d2totalactivity,d3.d2totalactivity,immobdur,ppibox,startle
55304,B6,b,CAC6,M,WT,18.6,35.1,5470,116,3754,5784,37.1,1,8.5
55305,B6,b,CAC6,F,HET,15.9,36.7,5540,196,3945,11394,56.5,2,7.1
55306,B6,b,CAC6,F,WT,16.2,38,6707,204,6980,15604,12.5,3,39.5
55307,B6,b,CAC6,F,WT,16.8,52.4,7406,138,6391,14659,32.5,4,19.4
55317,BUB,b,CAC6,M,HET,24.2,31.3,7369,157,7298,9490,21,5,49.1
55318,BUB,b,CAC6,M,WT,26.4,40.2,13721,238,15300,13362,17.4,1,12.8
55319,BUB,b,CAC6,M,HET,27.5,42.9,7461,181,7302,2094,13,2,20.2
55320,BUB,b,CAC6,M,WT,26.9,50.8,4880,169,6600,12584,43.6,3,25.9
55321,BUB,b,CAC6,F,HET,21.2,16.4,5355,105,6437,14473,51.8,4,36.9
55322,BUB,b,CAC6,F,WT,21.1,18.5,4576,109,5395,14635,21.6,5,35.8
55323,PL,a,CAC6,F,WT,20.5,26.8,3939,28,2972,17385,2.4,1,17.1
55324,PL,a,CAC6,F,HET,21.6,37.1,3786,57,2998,13701,4.6,2,12.3
55325,NZW,a,CAC6,M,WT,32.4,28.7,2592,201,2137,5718,75.8,3,120.8
55326,NZW,a,CAC6,M,HET,31.9,23.4,2079,31,1336,4191,15.9,4,181.8
55327,NZW,a,CAC6,M,HET,32,27.7,2601,31,1985,4317,56.1,5,225.1
55328,NZW,a,CAC6,M,HET,30.4,31.7,2575,171,2418,1796,8,1,61.1
55329,NZW,a,CAC6,M,HET,31.1,41.1,3022,74,2138,3844,1.9,2,121
55330,NZW,a,CAC6,M,WT,30.6,36.4,2401,89,3324,5084,20.5,3,56.9
55331,NZW,a,CAC6,F,WT,26.6,43.9,3424,61,2553,7179,68.1,4,55.2
55332,NZW,a,CAC6,F,WT,23.5,27.1,2750,49,1907,979,97.2,5,72
55336,NON,a,CAC7,F,HET,25.5,38.7,5629,94,3364,8760,75,1,16.2
55337,NON,a,CAC7,F,WT,22.3,26.2,5208,161,5781,16457,21.8,2,25.2
55338,SM,a,CAC7,M,HET,24.5,18.9,7897,165,6299,14517,37,3,70
55339,SM,a,CAC7,M,WT,23.7,36.8,8252,171,8223,18407,13,4,137.6
55340,SM,a,CAC7,M,HET,25.5,36.9,8037,167,5742,18919,1,5,147.6
55341,SM,a,CAC7,M,WT,25.5,36.8,9494,164,7942,22399,6.2,1,76.5
55342,SM,a,CAC7,F,HET,20,17.2,7370,96,6622,12676,0,2,53.2
55343,SM,b,CAC7,F,WT,16.8,32.4,8075,104,8757,11313,7.3,3,33.9
55344,BUB,b,CAC7,M,HET,24.3,20.1,2938,81,2212,12968,37.5,4,36.8
55345,BUB,b,CAC7,M,WT,25,40.2,5688,112,4259,17026,61.7,5,30.8
55346,BUB,b,CAC7,M,HET,25.4,19.6,4088,35,3920,11865,19.6,1,21.8
55347,BUB,b,CAC7,M,HET,22.2,24,2989,15,3352,2931,0.5,2,38.8
55348,BUB,b,CAC7,M,WT,24.3,34.9,2858,25,2123,12766,59.1,3,45.8
55349,BUB,b,CAC7,M,WT,23.8,47.3,5733,130,7658,21729,26.3,4,41.1
55350,BUB,b,CAC7,F,WT,18.4,32.8,6538,170,5627,8501,9.7,5,35.6
55351,BUB,b,CAC7,F,WT,19.2,30.4,5164,48,4606,12486,71.2,1,13.6
55352,BUB,b,CAC7,F,WT,18.1,41.6,4654,28,5295,12040,46.7,2,27
55353,BUB,b,CAC7,F,HET,19,32.3,4333,243,3623,4174,22.7,3,39.2
55354,BUB,b,CAC7,F,HET,17.5,24.2,5389,94,5228,10064,78.9,4,24.3
55355,SJL,a,CAC7,M,HET,26.1,42,2979,12,2311,6082,0.2,5,42.8
55356,SJL,a,CAC7,M,HET,24.9,50.1,4087,84,4301,18544,0.4,1,27.9
55357,SJL,a,CAC7,M,HET,25.6,48.9,3514,50,2740,6485,3.2,2,31.3
55358,SJL,a,CAC7,M,HET,24.8,25.9,4914,70,3884,17098,9.9,3,75.1
55359,SJL,a,CAC7,F,HET,19.2,51.3,967,0,1024,7323,0,4,24.9
55360,SJL,a,CAC7,F,HET,19.8,43.1,2232,9,1968,2374,3.5,5,28.9
55361,SJL,a,CAC7,F,HET,18.7,48.1,4745,148,4057,10466,9.8,1,13.8
55362,SJL,a,CAC7,F,WT,17.8,39.4,5067,68,4840,22899,46.2,2,18
55363,NZB,b,CAC7,F,WT,23.3,33.8,3411,55,2421,3391,0.4,3,57.5
55364,NZB,b,CAC7,F,HET,23.1,51.1,5682,205,3588,13938,0,4,64.8
55365,NON,a,CAC7,M,WT,30.8,49.9,7529,256,7481,16289,34,5,27.5
55366,NON,a,CAC7,M,HET,32.3,40.6,3064,122,3347,14053,16.3,1,24
55367,NON,a,CAC7,M,HET,32.1,39.1,4367,134,3186,12663,59.2,2,34.5
55368,NON,a,CAC7,M,HET,32.6,57.5,3384,73,2841,16767,15.6,3,35.6
55369,NON,a,CAC7,M,WT,32.8,45.7,5426,216,4493,16436,9.8,4,34.3
55370,NON,a,CAC7,F,HET,23,38.8,2739,31,1849,4141,0.3,5,16.4
55371,NON,a,CAC7,F,WT,24,44.4,5973,139,4899,9702,53.1,1,19.3
55379,RIIS,a,CAC7,M,HET,24.5,37.3,3582,83,1908,13677,8.2,2,119.3
55381,RIIS,a,CAC7,M,WT,24.2,33.1,5639,174,5905,12903,0.2,3,123
55382,RIIS,a,CAC7,F,WT,17.2,41.4,6010,203,5146,15083,0.2,4,95.1
55383,RIIS,a,CAC7,F,HET,16.5,37,7068,103,4743,13777,2.6,5,76.3
55384,RIIS,a,CAC7,F,WT,17.6,45.1,9159,137,8931,8171,0,1,85.5
55385,NZW,a,CAC7,M,HET,31.7,35.8,2420,39,987,7276,0,2,92.5
55386,NZW,a,CAC7,M,WT,28.2,31.9,4525,285,3349,6587,63.7,3,84.7
55389,NZW,a,CAC7,F,HET,24,54.3,1893,30,1936,6542,1.7,4,61.7
55390,NZW,a,CAC7,F,WT,22.7,45.8,3588,40,3335,3539,16.7,5,82.3
55391,B6,b,CAC8,M,HET,22.9,28.7,4000,43,4497,15423,12.8,1,9.6
55392,B6,b,CAC8,M,WT,22.9,29.4,6772,192,4825,21144,133.6,2,18
55396,B6,b,CAC8,F,HET,16.7,35.1,5771,254,3594,13600,120.9,3,13.7
55397,B6,b,CAC8,F,HET,18.5,46.1,4816,330,3849,22372,38.9,4,55.9
55398,SJL,a,CAC8,M,WT,25.3,61.5,3834,149,3776,18612,5.5,5,36
55400,SJL,a,CAC8,M,WT,26.7,38,3684,32,3949,23749,0.8,1,17.7
55401,SJL,a,CAC8,M,WT,27,27.5,4023,309,3474,18854,7.9,2,24.3
55402,SJL,a,CAC8,M,HET,29.3,35.1,5684,122,4889,15315,2.1,3,67
55403,SJL,a,CAC8,M,HET,27,46.5,5658,110,4773,13351,0.3,4,94.8
55404,SJL,a,CAC8,F,HET,18.7,36.6,4500,35,3915,16644,1.5,5,9.7
55405,SJL,a,CAC8,F,HET,19.3,38.9,1525,2,993,19164,6.1,1,7.7
55406,SJL,a,CAC8,F,WT,18.7,38.2,5663,182,4719,18557,4.4,2,13.9
55408,BTBR,b,CAC8,M,WT,36.8,42.9,6496,72,2732,14932,49.5,3,63.1
55409,BTBR,b,CAC8,M,HET,34.3,25,5776,51,2116,6733,11.2,4,211.3
55410,BTBR,b,CAC8,M,WT,38.5,34.1,3546,46,1892,5313,41.4,5,79.3
55411,BTBR,b,CAC8,M,WT,36.2,27.7,5845,70,4539,12622,1.1,1,29
55422,RIIS,a,CAC8,M,WT,23.9,43,7178,112,4525,15646,0.4,2,73.4
55423,RIIS,a,CAC8,M,HET,24.3,38,5196,291,4470,10870,2.7,3,96.3
55424,RIIS,a,CAC8,M,WT,24.6,42.8,9914,197,8835,12173,0.9,4,224.3
55425,RIIS,a,CAC8,F,WT,17.8,36.6,10531,170,10930,19251,2.6,5,104.9
55426,RIIS,a,CAC8,F,HET,17.2,31.8,6953,119,3706,8232,0,1,47.5
55428,BTBR,b,CAC8,M,WT,26.7,43.5,7576,204,6402,11354,5,2,38.8
55430,BTBR,b,CAC8,M,WT,26.9,43.1,7950,180,5602,8186,19.7,3,55.3
55431,BTBR,b,CAC8,M,HET,27.6,24.5,5630,76,3250,6437,14.5,4,47.8
55432,BTBR,b,CAC8,M,HET,30.2,42.4,4761,125,1925,6814,6.5,5,89.3
55433,BTBR,b,CAC8,M,HET,28.4,45.1,7556,87,2729,4127,0.6,1,73
55434,BTBR,b,CAC8,F,WT,24.1,32.7,6453,29,3857,92,57.5,2,60.3
55436,BTBR,b,CAC8,F,WT,20.7,20,4445,25,2160,216,30.6,3,59
55437,BTBR,b,CAC8,F,WT,22.4,33.4,8876,52,5646,11443,116,4,149.4
55438,BTBR,b,CAC8,F,HET,23.2,21.4,3098,10,1841,6696,30.9,5,60
55445,SEA,a,CAC8,M,HET,26.4,49.6,10202,224,9383,19575,1.4,1,43.2
55446,SEA,a,CAC8,M,WT,27.7,42.2,9622,252,5841,20233,20.9,2,21.9
55447,RIIS,a,CAC8,F,WT,18.9,50.7,7899,133,7994,19991,21.9,3,95.5
55448,RIIS,a,CAC8,F,HET,17.9,48.4,5258,147,5719,15143,12.1,4,140
55449,RIIS,a,CAC8,F,WT,16.9,42.6,6060,81,5289,19429,14.5,5,95.3
55456,NON,a,CAC8,F,HET,20.7,49,3430,36,2748,9530,26.2,1,14.7
55457,NON,a,CAC8,F,HET,21.3,39.8,5331,148,4010,6645,37.5,2,20.6
55458,NON,a,CAC8,F,HET,19.4,36,5449,113,3505,9848,70,3,25.7
55460,B6,b,CAC8,F,WT,17.7,37.4,6911,169,7743,14656,40.3,4,91.3
55461,B6,b,CAC8,F,WT,18.1,34.6,7713,169,5354,20387,81.4,5,24
55462,B6,b,CAC8,F,WT,18.2,41.9,6213,68,4119,14826,94.3,1,7.9
55463,NZB,b,CAC8,M,WT,29.4,49.4,5205,180,4320,21406,0.9,2,22.4
55464,NZB,b,CAC8,M,HET,31.6,32.8,2194,48,3564,NA,16.2,3,58
55465,NZB,b,CAC8,F,HET,22.6,36.3,3316,85,2883,8561,0.1,4,49.1
55466,NZB,b,CAC8,F,WT,21.9,36.3,2819,16,2857,3922,35.3,5,18.9
55467,NZB,b,CAC8,F,HET,22.1,11.7,2363,9,2185,6464,4.3,1,14.9
55468,NZW,a,CAC9,M,WT,29.7,44.8,5377,240,4240,12976,41.8,1,141.8
55469,NZW,a,CAC9,M,WT,31.8,43.7,6030,185,3749,235,68.5,2,63.5
55477,SEA,a,CAC9,F,HET,20.9,19.4,7086,227,7810,19539,2.6,3,33.2
55478,SEA,a,CAC9,F,HET,21.4,41.3,6554,145,7543,23660,2.3,4,37.3
55479,RIIS,a,CAC9,M,HET,27.9,44.7,7069,140,4851,9045,6.8,5,149.6
55480,RIIS,a,CAC9,M,WT,27.1,45.2,6630,114,4775,18760,8.4,1,100.6
55481,RIIS,a,CAC9,F,WT,20.5,39.1,10656,162,9668,17070,26.2,2,52.1
55482,RIIS,a,CAC9,F,HET,20.1,37.5,7410,95,5762,17363,69.1,3,61.1
55483,NZB,b,CAC9,M,WT,32.4,50.3,5391,188,3493,15611,5.5,4,110.4
55484,NZB,b,CAC9,M,WT,32.1,45.4,4544,155,3490,9183,15.3,5,57.5
55485,NZB,b,CAC9,M,HET,32.2,29.7,4654,88,3299,9643,1.1,1,20.9
55486,NZB,b,CAC9,F,HET,21.9,25.9,6091,61,2550,6878,0.2,2,22.3
55487,NZB,b,CAC9,F,HET,26.4,38.8,3902,72,2381,457,1.3,3,31.1
55488,NZB,b,CAC9,F,HET,25.6,6.8,2050,41,1010,13729,1.4,4,36.7
55489,RIIS,a,CAC9,M,WT,25,35.9,6434,83,5101,12033,0,5,172.4
55490,RIIS,a,CAC9,M,HET,25.9,37.5,6781,158,4780,15976,3.9,1,140
55494,SEA,a,CAC9,M,HET,28.7,54,4252,112,4017,11872,0.6,2,16
55495,SEA,a,CAC9,M,HET,28.9,44,6184,83,4411,13870,2.3,3,28.3
55496,SEA,a,CAC9,M,HET,26.1,45.8,8709,241,6867,13504,6.8,4,37.1
55497,SEA,a,CAC9,M,HET,28.3,48.3,5814,176,4987,5574,0.1,5,24.6
55498,SEA,a,CAC9,M,WT,26.5,59.2,7797,256,4418,9806,9,1,9.8
55499,SEA,a,CAC9,F,WT,19.5,46.3,9272,144,7587,13533,52.8,2,22
55500,SEA,a,CAC9,F,WT,18.4,39.6,9152,137,8919,20367,27.2,3,27.5
55501,AJ,b,CAC9,F,WT,20.2,24.3,3236,22,2862,14125,31.2,4,29.8
55502,AJ,b,CAC9,F,WT,21,45.2,3292,49,3921,8036,25.6,5,22
55503,AJ,b,CAC9,F,WT,19,39.5,5362,63,5105,14038,0,1,15.4
55504,NZB,b,CAC9,M,WT,28.8,28.7,4009,52,4240,14290,26.8,2,21.8
55505,NZB,b,CAC9,M,WT,29.8,45.6,3338,40,3260,13274,0.5,3,95.7
55506,NZB,b,CAC9,M,WT,29.8,62.3,4573,97,5371,12113,26.4,4,66.9
55507,NZB,b,CAC9,M,HET,29,29.9,2627,27,708,14324,0.7,5,19.7
55513,RIIS,a,CAC9,M,WT,24,39,7780,95,5734,14292,2.8,1,112
55514,RIIS,a,CAC9,M,HET,25.9,41.1,5226,102,1005,18073,0.3,2,77.1
55515,RIIS,a,CAC9,M,HET,28.2,47.3,5210,150,3934,9242,9.5,3,99.8
55516,RIIS,a,CAC9,F,HET,18.8,50.4,6207,243,5657,15138,0.6,4,138.1
55517,RIIS,a,CAC9,F,HET,18.7,32.8,5570,123,4977,17173,0,5,75.8
55518,AJ,b,CAC9,M,HET,24.5,34.5,3225,9,3004,3385,5.3,1,32.8
55519,AJ,b,CAC9,M,HET,22.4,36.5,1707,0,1114,287,64.8,2,14.6
55520,AJ,b,CAC9,M,HET,23.1,27.9,1346,3,1450,-254,5.8,3,29.3
55521,AJ,b,CAC9,M,WT,23.4,27.2,4983,160,4456,15319,4.9,4,113.2
55522,AJ,b,CAC9,M,HET,22.2,36.3,1648,3,549,2631,98.4,5,36
55523,AJ,b,CAC9,M,WT,21.2,34.6,3440,10,3705,6757,36.8,1,24.6
55524,AJ,b,CAC9,M,WT,22.6,38.1,5486,34,5205,10857,96.2,2,27.7
55525,AJ,b,CAC9,F,HET,18,16.6,655,1,408,547,35.7,3,10.8
55526,AJ,b,CAC9,F,HET,16.2,27.6,2026,19,2267,-1797,2.7,4,42.4
55527,AJ,b,CAC9,F,HET,17.1,40,4106,46,3052,3842,30.9,5,26.5
55528,AJ,b,CAC9,F,HET,15.8,47.5,3103,16,3200,10929,1.2,1,25.5
55529,SEA,a,CAC10,M,WT,27.2,42.6,6427,198,5947,9884,10,1,7.6
55530,SEA,a,CAC10,M,WT,26.7,31.5,4986,80,4633,6345,29.2,2,21.9
55531,SEA,a,CAC10,M,HET,27.6,6.7,6704,142,4342,12367,4,3,18.3
55532,SEA,a,CAC10,M,WT,27.9,37.1,5514,200,6381,11300,30.1,4,34.8
55533,SEA,a,CAC10,F,WT,19.6,36,5904,187,7898,9916,30.7,5,15.2
55534,SEA,a,CAC10,F,WT,19.9,41.1,6856,127,7549,16182,64.6,1,8.5
55535,SEA,a,CAC10,F,WT,20.3,39.7,8680,90,9336,20320,18.4,2,12
55536,SEA,a,CAC10,F,WT,19.4,29.1,5787,154,6655,19138,63.2,3,19.1
55537,AJ,b,CAC10,M,WT,25.4,39.5,6123,104,4650,16678,60.4,4,25
55538,AJ,b,CAC10,M,WT,27.4,24.4,5083,67,4126,18408,47,5,25.7
55541,AJ,b,CAC10,F,WT,19.8,99.9,4601,66,4411,13485,90.8,1,8.5
55542,AJ,b,CAC10,F,WT,19.3,30.6,5986,62,3631,17895,75.6,2,11.4
55543,AJ,b,CAC10,M,WT,25.4,40.8,4381,96,3559,24421,41.3,3,24
55544,AJ,b,CAC10,M,WT,24.6,61.9,3649,87,3992,20554,63.4,4,38.2
55546,AJ,b,CAC10,M,HET,24.2,28.8,4711,86,3805,12097,32.3,5,20.8
55547,AJ,b,CAC10,M,HET,21.5,28.7,3560,7,4183,-1399,22.5,1,23.6
55549,AJ,b,CAC10,F,HET,17.6,42.8,3077,1,1738,3207,4.1,2,8.5
55550,AJ,b,CAC10,F,WT,18.1,49.6,6802,110,7205,18430,93,3,18.8
55551,AJ,b,CAC10,F,HET,17.9,26.1,355,1,1450,9412,12.7,4,20.2
55552,NZW,a,CAC10,F,WT,22.7,37,5544,81,3446,7603,38.3,5,53.4
55553,NZW,a,CAC10,F,HET,23.7,28.4,2754,138,1322,-213,14.7,1,7.7
55554,MRL,b,CAC10,M,HET,34.4,40.4,3857,111,3474,7071,1.6,2,45.8
55555,MRL,b,CAC10,M,WT,31,51.4,5432,336,6307,12396,14.6,3,56.7
55557,MA,a,CAC10,M,HET,22.8,46.4,5764,122,2899,6600,18.2,4,27.8
55558,MA,a,CAC10,M,HET,22.4,44.4,4606,31,3423,4709,105.1,5,19.1
55559,MA,a,CAC10,M,HET,25,48.6,3915,114,2130,5316,39.4,1,10.9
55560,MA,a,CAC10,M,WT,22.9,42.8,6541,171,5907,12320,20.5,2,18.1
55561,MA,a,CAC10,F,WT,19.3,37.3,6974,102,5168,14957,78.8,3,11.7
55562,MA,a,CAC10,F,HET,18.3,45.5,4586,73,2640,8756,9.5,4,11.6
55563,MA,a,CAC10,F,WT,19.6,42.7,11093,164,7210,5952,64.2,5,14.4
55564,MA,a,CAC10,F,WT,17,26.7,6034,57,4629,3587,89.2,1,7.8
55565,MA,a,CAC10,M,WT,25,45.1,5946,116,5915,10285,53.4,2,15.5
55566,MA,a,CAC10,M,HET,23.8,42,6096,81,4631,8956,122,3,20.2
55567,MA,a,CAC10,M,HET,24,28.9,4101,116,2421,2788,67.7,4,24.2
55568,MA,a,CAC10,F,WT,15.7,27.4,4053,28,2807,4757,140.5,5,18.6
55569,MA,a,CAC10,F,HET,16.5,39.6,6324,84,4701,-4478,0,1,9.2
55570,MA,a,CAC10,F,HET,18.3,23.8,1907,43,905,-428,58.4,2,12.8
55571,MA,a,CAC10,F,HET,17.3,26.3,4876,93,3913,7754,119,3,18.3
55572,MA,a,CAC10,F,WT,16.7,49,7226,233,8637,6385,119.2,4,29.6
55573,PL,a,CAC10,M,WT,23.6,41.2,3981,122,2691,14425,20.9,5,8.3
55574,PL,a,CAC10,M,HET,24.3,42.9,4481,244,3467,9152,1.8,1,16.5
55575,PL,a,CAC10,M,WT,22.7,48.9,4831,125,4400,12120,9.6,2,12.1
55576,PL,a,CAC10,M,HET,24.6,49.2,4246,82,2569,10013,2,3,21.2
55577,PL,a,CAC10,F,WT,17,40.1,7030,155,614,24659,20.5,4,11.7
55578,PL,a,CAC10,F,HET,18.8,50.9,4947,125,3716,17576,5.7,5,11.4
55581,DBA,b,CAC10,F,HET,20.1,39.2,2566,26,2123,2805,37.8,1,8
55582,DBA,b,CAC10,F,HET,22,24.8,2636,47,2424,2178,12.7,2,5.8
55590,MRL,b,CAC11,M,WT,36,20.6,4896,198,4398,16672,12.6,1,53.2
55591,MRL,b,CAC11,M,WT,30.9,31,4802,151,4118,7581,103.1,2,40
55592,MRL,b,CAC11,M,HET,31.1,2.3,3185,171,3886,8262,22.1,3,80
55593,MRL,b,CAC11,M,WT,36.7,9.2,5616,114,4457,14084,95.8,4,79.3
55594,MRL,b,CAC11,M,WT,35.4,49.8,3369,179,3957,17714,7.4,5,48.1
55595,MRL,b,CAC11,F,WT,21.1,39.1,5046,399,5581,9946,50.7,1,34.5
55596,MRL,b,CAC11,F,WT,24.6,37.4,7067,306,6862,9637,53.9,2,50.8
55597,MRL,b,CAC11,F,HET,24,50.3,3850,61,4420,12761,6.3,3,86.5
55598,B6,b,CAC11,M,WT,21.1,53.4,5407,126,5579,9284,64.7,4,19
55599,B6,b,CAC11,M,HET,21.8,32,4044,103,2837,13810,103.6,5,21.4
55600,B6,b,CAC11,M,WT,19.1,27.5,4662,102,4242,6722,10.1,1,45.3
55601,B6,b,CAC11,F,HET,16.4,32.1,4573,34,4033,10751,43.5,2,24.1
55602,B6,b,CAC11,F,WT,14,43.6,6067,169,4275,27471,58.4,3,70.5
55603,B6,b,CAC11,F,WT,16.9,36.4,3511,35,1946,19622,113.7,4,8.6
55604,B6,b,CAC11,F,WT,16.1,4.2,4535,137,3492,11823,38,5,31.1
55607,NZW,a,CAC11,F,HET,23.2,28.3,2725,8,1440,5853,24.1,1,22.1
55609,NZW,a,CAC11,F,HET,23.4,23.1,3154,19,2809,4753,71,2,18.4
55610,NZW,a,CAC11,F,HET,23.7,33.4,3571,16,1094,6716,1.2,3,74.1
55611,NZW,a,CAC11,F,WT,25.7,26.1,5796,179,5526,5544,111.9,4,48
55612,NZW,a,CAC11,F,WT,25.4,35.5,6881,192,4819,8353,6.7,5,58.7
55613,SM,a,CAC11,F,WT,20.9,37.1,9513,181,9850,30799,0.3,1,48.2
55614,SM,b,CAC11,F,WT,20.3,33.6,5516,124,7735,20336,76.6,2,41.4
55615,SJL,a,CAC11,F,WT,18.3,18.4,6846,118,7856,13503,0,3,67
55618,SJL,a,CAC11,F,WT,17.8,41.7,3849,35,4057,19156,5.1,4,10.6
55620,MRL,b,CAC11,F,HET,28,14.1,6393,48,4868,9335,17,5,45.5
55621,MRL,b,CAC11,F,WT,26.5,38.4,4437,91,3994,9989,22.3,1,55
55622,MRL,b,CAC11,F,WT,28.2,9,3973,43,4230,8952,64.6,2,41.2
55623,B6,b,CAC11,M,WT,23.1,43.9,4646,168,3450,21415,52.2,3,67.7
55624,B6,b,CAC11,M,HET,23.4,9,3818,225,3229,7804,132.6,4,17.6
55625,B6,b,CAC11,M,HET,22.9,35,4190,115,3083,4087,49.3,5,10.5
55626,B6,b,CAC11,M,HET,23.7,33.4,4401,197,2168,5503,14.2,1,15.1
55627,B6,b,CAC11,M,HET,23.4,50.4,3049,72,2219,7309,82.7,2,14.5
55628,B6,b,CAC11,F,WT,17.7,47.9,4154,154,3907,17750,139.8,3,63.4
55629,B6,b,CAC11,F,HET,18.4,40.8,2992,213,2265,11222,9.2,4,9.4
55630,B6,b,CAC11,F,WT,17.5,40,3802,99,3445,10980,100.9,5,29.5
55631,B6,b,CAC11,F,HET,18.7,34.6,3501,158,3041,10268,0,1,15.2
55632,B6,b,CAC11,M,WT,22.7,41.4,6586,212,5235,13753,49.2,2,18.6
